Name,HomeCountry,Sport,Year,HostCountry,GoldMedal,SilverMedal,BronzeMedal,TotalMedals
Demi Stokes,United Kingdom,Football,2020,Japan,,,,0
Casey Stoney,United Kingdom,Football,2012,United Kingdom,,,,0
Beth Storry,United Kingdom,Hockey,2008,China,,,,0
Beth Storry,United Kingdom,Hockey,2012,United Kingdom,,,1,1
Samantha Stosur,Australia,Tennis,2004,Greece,,,,0
Samantha Stosur,Australia,Tennis,2008,China,,,,0
Samantha Stosur,Australia,Tennis,2012,United Kingdom,,,,0
Samantha Stosur,Australia,Tennis,2016,Brazil,,,,0
Samantha Stosur,Australia,Tennis,2020,Japan,,,,0
Jérémy Stravius,France,Swimming,2012,United Kingdom,1,1,,2
Jérémy Stravius,France,Swimming,2016,Brazil,,1,,1
Martina Strutz,Germany,Pole Vault,2012,United Kingdom,,,,0
Martina Strutz,Germany,Pole Vault,2016,Brazil,,,,0
Rennae Stubbs,Australia,Tennis,1996,United States,,,,0
Rennae Stubbs,Australia,Tennis,2000,Australia,,,,0
Rennae Stubbs,Australia,Tennis,2004,Greece,,,,0
Rennae Stubbs,Australia,Tennis,2008,China,,,,0
Carla Suárez,Spain,Tennis,2008,China,,,,0
Carla Suárez,Spain,Tennis,2012,United Kingdom,,,,0
Carla Suárez,Spain,Tennis,2016,Brazil,,,,0
Carla Suárez,Spain,Tennis,2020,Japan,,,,0
Erica Sullivan,United States,Swimming,2020,Japan,,,,0
Pia Sundhage,Sweden,Football,1996,United States,,,,0
Victoria Svensson,Sweden,Football,2000,Australia,,,,0
Victoria Svensson,Sweden,Football,2004,Greece,,,,0
Victoria Svensson,Sweden,Football,2008,China,,,,0
Sheryl Swoopes,United States,Basketball,1996,United States,1,,,1
Sheryl Swoopes,United States,Basketball,2000,Australia,1,,,1
Sheryl Swoopes,United States,Basketball,2004,Greece,1,,,1
Stacy Sykora,United States,Volleyball,2000,Australia,,,,0
Stacy Sykora,United States,Volleyball,2004,Greece,,,,0
Stacy Sykora,United States,Volleyball,2008,China,,1,,1
Blyth Tait,New Zealand,Equestrian 3-Day Event,1992,Spain,,1,1,2
Blyth Tait,New Zealand,Equestrian 3-Day Event,1996,United States,1,,1,2
Blyth Tait,New Zealand,Equestrian 3-Day Event,2000,Australia,,,,0
Blyth Tait,New Zealand,Equestrian 3-Day Event,2004,Greece,,,,0
Diana Taurasi,United States,Basketball,2004,Greece,1,,,1
Diana Taurasi,United States,Basketball,2008,China,1,,,1
Diana Taurasi,United States,Basketball,2012,United Kingdom,1,,,1
Diana Taurasi,United States,Basketball,2016,Brazil,1,,,1
Diana Taurasi,United States,Basketball,2020,Japan,1,,,1
Penny Taylor,Australia,Basketball,2004,Greece,,1,,1
Penny Taylor,Australia,Basketball,2008,China,,1,,1
Penny Taylor,Australia,Basketball,2016,Brazil,,,,0
Arjen Teeuwissen,The Netherlands,Equestrian Dressage,2000,Australia,,1,,1
Carly Telford,United Kingdom,Football,2020,Japan,,,,0
Mark Tewksbury,Canada,Swimming,1992,Spain,1,,1,2
Mark Tewksbury,Canada,Swimming,1988,South Korea,,1,,1
Carole Thate,The Netherlands,Hockey,1992,Spain,,,,0
Carole Thate,The Netherlands,Hockey,1996,United States,,,1,1
Carole Thate,The Netherlands,Hockey,2000,Australia,,,1,1
Jessica Thoennes,United States,Rowing,2020,Japan,,,,0
Kristen Thomas,United States,Rugby Sevens,2020,Japan,,,,0
Markus Thormeyer,Canada,Swimming,2016,Brazil,,,,0
Markus Thormeyer,Canada,Swimming,2020,Japan,,,,0
Ian Thorpe,Australia,Swimming,2000,Australia,3,2,,5
Ian Thorpe,Australia,Swimming,2004,Greece,2,1,1,4
Ian Thorpe,Australia,Swimming,2008,China,,,,0
Ellen Tomek,United States,Rowing,2008,China,,,,0
Ellen Tomek,United States,Rowing,2106,Brazil,,,,0
Ellen Tomek,United States,Rowing,2020,Japan,,,,0
Gearóid Towey,Ireland,Rowing,2000,Australia,,,,0
Gearóid Towey,Ireland,Rowing,2004,Greece,,,,0
Gearóid Towey,Ireland,Rowing,2008,China,,,,0
Susannah Townsend,United Kingdom,Hockey,2016,Brazil,1,,,1
Susannah Townsend,United Kingdom,Hockey,2020,Japan,,,1,1
Ruby Tul,New Zealand,Rugby Sevens,2016,Brazil,,1,,1
Ruby Tul,New Zealand,Rugby Sevens,2020,Japan,1,,,1
Emma Twigg,New Zealand,Rowing,2008,China,,,,0
Emma Twigg,New Zealand,Rowing,2012,United Kingdom,,,,0
Emma Twigg,New Zealand,Rowing,2016,Brazil,,,,0
Emma Twigg,New Zealand,Rowing,2020,Japan,1,,,1
Anissa Urtez,Mexico,Softball,2020,Japan,,,,0
Danielle van de Donk,The Netherlands,Football,2020,Japan,,,,0
Shanice van de Sanden,The Netherlands,Football,2020,Japan,,,,0
Stefanie van der Gragt,The Netherlands,Football,2020,Japan,,,,0
Sanne van Dijke,The Netherlands,Judo,2020,Japan,,,1,1
Merel van Dongen,The Netherlands,Football,2020,Japan,,,,0
Ernst van Heerden,South Africa,Poetry,1948,United Kingdom,,1,,1
Marleen van Iersel,The Netherlands,Beach Volleyball,2012,United Kingdom,,,,0
Marleen van Iersel,The Netherlands,Beach Volleyball,2016,Brazil,,,,0
Peter van Miltenburg,Australia,Track Athletics,1984,United States,,,,0
Alison van Uytvanck,Belgium,Tennis,2020,Japan,,,,0
Janine van Wyk,South Africa,Football,2012,United Kingdom,,,,0
Janine van Wyk,South Africa,Football,2016,Brazil,,,,0
Elke Vanhoof,Belgium,BMX Cycling,2020,Japan,,,,0
Julia Vasconcelos,Brazil,Taekwando,2016,Brazil,,,,0
Dan Veatch,United States,Swimming,1988,South Korea,,,,0
Julian Venonsky,United States,Rowing,2020,Japan,,,,0
Lena Videkull,Sweden,Football,1996,United States,,,,0
Sunette Viljoen,South Africa,Javelin,2004,Greece,,,,0
Sunette Viljoen,South Africa,Javelin,2008,China,,,,0
Sunette Viljoen,South Africa,Javelin,2012,United Kingdom,,,,0
Sunette Viljoen,South Africa,Javelin,2016,Brazil,,1,,1
Linda Villumsen,Denmark,Cycling,2008,China,,,,0
Linda Villumsen,New Zealand,Cycling,2012,United Kingdom,,,,0
Linda Villumsen,New Zealand,Cycling,2016,Brazil,,,,0
Lisa-Marie Vizaniari,Australia,Discus,1996,United States,,,,0
Lisa-Marie Vizaniari,Australia,Discus,2000,Australia,,,,0
Tom Waddell,United States,Decathlon,1968,Mexico,,,,0
Kira Walkenhorst,Germany,Beach Volleyball,2016,Brazil,1,,,1
Stanisława Walasiewicz,Poland,Track and Field Athletics,1932,United States,1,,,1
Stanisława Walasiewicz,Poland,Track and Field Athletics,1936,Germany,,,,0
Ji Wallace,Australia,Trampoline,2000,Australia,,1,,1
Michaela Walsh,Ireland,Boxing,2020,Japan,,,,0
Sarah Walsh,Australia,Football,2004,Greece,,,,0
Lisa Walton,New Zealand,Hockey,2004,Greece,,,,0
Sally Walton,United Kingdom,Jockey,2012,United Kingdom,,,1,1
Abby Wambach,United States,Football,2004,Greece,1,,,1
Abby Wambach,United States,Football,2012,United Kingdom,1,,,1
Margaret Wambui,Kenya,Track Athletics,2016,Brazil,,,1,1
Jeffrey Wammes,The Netherlands,Gymnastics,2016,Brazil,,,,0
Ann Wauters,Belgium,Basketball,2020,Japan,,,,0
Rowie Webster,Australia,Rowing,2012,United Kingdom,,,1,1
Rowie Webster,Australia,Rowing,2016,Brazil,,,,0
Rowie Webster,Australia,Rowing,2020,Japan,,,,0
Hannah Wilkinson,New Zealand,Football,2012,United Kingdom,,,,0
Hannah Wilkinson,New Zealand,Football,2016,Brazil,,,,0
Hannah Wilkinson,New Zealand,Football,2020,Japan,,,,0
Leah Wilkinson,United Kingdom,Hockey,2020,Japan,,,,0
Fara Williams,United Kingdom,Football,2012,United Kingdom,,,,0
Sharni Williams,Australia,Rugby Sevens,2016,Brazil,1,,,1
Sharni Williams,Australia,Rugby Sevens,2020,Japan,,,,0
Spencer Wilton,United Kingdom,Equestrian Dressage,2016,Brazil,,1,,1
Christine Witty,United States,Cycling,2000,Australia,,,,0
Portia Woodman,New Zealand,Rugby Sevens,2016,Brazil,,1,,1
Portia Woodman,New Zealand,Rugby Sevens,2020,Japan,1,,,1
Jack Woolley,United Kingdom,Taekwando,2020,Japan,,,,0
Nina Wörz,Germany,Handball,2008,China,,,,0
Marta Xargay,Spain,Basketball,2016,Brazil,,1,,1
Kirsty Yallop,New Zealand,Football,2008,China,,,,0
Kirsty Yallop,New Zealand,Football,2012,United Kingdom,,,,0
Kirsty Yallop,New Zealand,Football,2016,Brazil,,,,0
Tameka (née Butt) Yallop,Australia,Football,2016,Brazil,,,,0
Tameka (née Butt) Yallop,Australia,Football,2020,Japan,,,,0
Katarzyna Zillmann,Poland,Rowing,2020,Japan,,1,,1
Carol Blazejowski,United States,Basketball,1976,Canada,,,,0
Saskia Budgett,United Kingdom,Rowing,2020,Japan,,,,0
Taylor Edwards,United States,Softball,2020,Japan,,,,0
Gina Gomez,United States,Badminton,1996,United States,,,,0
Siri Lindley,United States,Triathlon,2000,Australia,,,,0
Lori Lindsey,United States,Football,2012,United Kingdom,,,,0
Jillian Loyden,United States,Football,2012,United Kingdom,,,,0
Mason Phelps,United States,Equestrian 3-Day Event,1968,Mexico,,,,0
Alfred Reft,United States,Volleyball,2008,China,,,,0
Marieke van der Wahl,The Netherlands,Handball,2016,Brazil,,,,0
Anne Veenendaal,The Netherlands,Hockey,2020,Japan,,,,0
Nick Wagman,United States,Equestrian Dressage,2020,Japan,,,,0
Saskia Webber,United States,Football,1996,United States,,,,0
Chelsea Wolfe,United States,BMX Cycling,2020,Japan,,,,0
